"INPUT","FOUND_BY","DTXSID","PREFERRED_NAME","ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED","BIOCONCENTRATION_FACTOR_OPERA_PRED","BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED","BOILING_POINT_DEGC_OPERA_PRED","HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED","OPERA_KM_DAYS_OPERA_PRED","OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED","SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED","OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED","MELTING_POINT_DEGC_OPERA_PRED","OPERA_PKAA_OPERA_PRED","OPERA_PKAB_OPERA_PRED","VAPOR_PRESSURE_MMHG_OPERA_PRED","WATER_SOLUBILITY_MOL/L_OPERA_PRED"
"JCMNMOBHVPONLD-UHFFFAOYSA-N","InChIKey","DTXSID1062122","4:2 Fluorotelomer alcohol","6.27212E-14","4.0272","4.46936","101.886","2.63993E-9","0.133788","3.81731","107.725","3.26754","-43.9494","N/A","N/A","3.61698","0.00190049"
"QZFZPVVDBGXQTB-UHFFFAOYSA-N","InChIKey","DTXSID00382070","5:1 Fluorotelomer alcohol","2.24605E-14","3.8351","4.44729","110.549","2.43963E-9","0.234073","3.75643","156.352","3.03427","6.79245","N/A","N/A","5.99327","0.000669789"
"GRJRKPMIRMSBNK-UHFFFAOYSA-N","InChIKey","DTXSID5044572","3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooctanol","2.64048E-14","91.4242","4.47007","121.761","2.61703E-10","0.602252","4.09576","3169.97","4.57254","22.6415","N/A","N/A","0.601138","0.0000479682"
"PJDOLCGOTSNFJM-UHFFFAOYSA-N","InChIKey","DTXSID5059793","7:1 Fluorotelomer alcohol","1.87239E-14","62.2555","4.07437","160.971","2.32261E-10","1.33696","4.08781","2237.65","3.97209","44.6771","N/A","N/A","0.127658","0.000148758"
"JJUBFBTUBACDHW-UHFFFAOYSA-N","InChIKey","DTXSID7029904","3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluoro-1-decanol","8.04646E-15","133.906","4.94332","154.114","2.07165E-10","2.62237","4.22187","2246.09","5.70013","47.4522","N/A","N/A","0.207088","4.11971E-7"
"NIRPXSQCRWXHNZ-UHFFFAOYSA-N","InChIKey","DTXSID00369826","9:1 Fluorotelomer alcohol","5.78063E-15","92.6457","5.07768","153.495","1.68637E-10","2.77275","4.20293","441.97","4.67742","61.3694","N/A","N/A","0.0162407","0.00000473002"
"FLXYIZWPNQYPIT-UHFFFAOYSA-N","InChIKey","DTXSID2029905","10:2 Fluorotelomer alcohol","6.56829E-15","223.79","4.94311","178.655","3.66944E-10","3.01078","4.75837","121883","7.09471","92.6717","N/A","N/A","0.0544806","4.07068E-8"
"SHTZQFTXUMCALC-UHFFFAOYSA-N","InChIKey","DTXSID80375107","11:1 Fluorotelomer alcohol","4.32436E-15","222.644","6.75326","189.009","3.70327E-10","3.00346","4.7157","86113.4","5.13105","101.302","N/A","N/A","0.00415617","0.00000341768"
"QBBJBWKVSJWYQK-UHFFFAOYSA-N","InChIKey","DTXSID3068170","2-(Perfluorododecyl)ethanol","6.00047E-15","404.393","5.46466","193.524","3.71808E-10","3.03558","5.73976","184754","5.48541","109.225","N/A","N/A","0.00315549","0.00000427249"
"WYCXYEWKMLSDBQ-UHFFFAOYSA-N","InChIKey","DTXSID90380025","1H,1H-Perfluoro-1-tetradecanol","4.05157E-15","1391.45","7.58243","192.796","3.76365E-10","2.98341","4.96868","231933","5.40773","112.903","N/A","N/A","0.00233698","0.0000106788"
